calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201608,4418-0,286813.3,3832,2016-08-01
201608,4421-0,343854.18,4860,2016-08-01
201608,4434-0,593184.7,4524,2016-08-01
201608,4467-0,876579.05,16261,2016-08-01
201608,4468-0,829855.15,15440,2016-08-01
201608,45989-0,522019.17,3043,2016-08-01
201608,4636-0,861459.04,35292,2016-08-01
201608,4639-0,175439.3,7970,2016-08-01
201608,4647-0,124397.4,11584,2016-08-01
201608,4648-0,37603.590000000004,4086,2016-08-01
201608,4694-0,73942.15,5771,2016-08-01
201608,4734-0,91429.39,4090,2016-08-01
201608,4774-0,507872.19,45138,2016-08-01
201608,4775-0,212706.4,19980,2016-08-01
201608,5172-0,485512.86,1294,2016-08-01
201608,5297-0,20578.81,176,2016-08-01
201608,98993-0,767741.4400000001,3134,2016-08-01
201608,98994-0,691192.6,2819,2016-08-01
201608,99042-NA,45909.18,378,2016-08-01
201608,99517-LGR-1WA,2600.82,3,2016-08-01
201608,99520-LGR-1WA,2702.43,5,2016-08-01
201608,99520-LGR-1WT,2260.34,3,2016-08-01
201608,99522-LG-1WA,5249.8,4,2016-08-01
201608,99524-LG-1WA,5952.95,5,2016-08-01
201608,99524-LG-1WT,2448.06,2,2016-08-01
201608,99530-LGR-1WA,8311.2,11,2016-08-01
201608,99530-LGR-1WT,808.63,1,2016-08-01
201608,99533-LGR-1WA,10796.259999999998,13,2016-08-01
201608,99533-LGR-1WT,4242.5,5,2016-08-01
201608,99535-LG-1WA,3740.51,3,2016-08-01
201608,99537-LG-1WA,1077.4,1,2016-08-01
201608,99537-LG-1WT,1056.85,1,2016-08-01
201608,99541-R-1WA,8682.49,17,2016-08-01
201608,99543-R-1WA,1676.1000000000001,3,2016-08-01
201608,99543-R-1WT,454.4,1,2016-08-01
201608,99544-1WA,1674.2,2,2016-08-01
201608,99544-1WT,3181.82,4,2016-08-01
201608,99548-1WA,2160.93,5,2016-08-01
201608,CB-CLW2026SS,93480.56999999999,1016,2016-08-01
201609,10491-0,1228650.34,5087,2016-09-01
201609,10493-0,135030.85,515,2016-09-01
201609,11464-0,3059464.2600000002,24460,2016-09-01
201609,11499-0,3741736.48,24620,2016-09-01
201609,2967-BR1,52274.39,581,2016-09-01
201609,3073-NA,303742.64,3527,2016-09-01
201609,3946-0,239298.47,899,2016-09-01
201609,4008-0,155936.95,6054,2016-09-01
201609,4166-0,157377.27,2542,2016-09-01
201609,4167-0,103818.47,1631,2016-09-01
201609,4198-0,732436.21,8588,2016-09-01
201609,4199-0,2343801.79,23399,2016-09-01
201609,4309-0,1156809.96,9764,2016-09-01
201609,4418-0,281668.51,3790,2016-09-01
201609,4421-0,357533.66,5222,2016-09-01
201609,4434-0,477754.83999999997,3643,2016-09-01
201609,4467-0,832071.25,15522,2016-09-01
201609,4468-0,800861.5800000001,14824,2016-09-01
201609,45989-0,591963.83,3438,2016-09-01
201609,4636-0,843036.33,34233,2016-09-01
201609,4639-0,131610.49,5924,2016-09-01
201609,4647-0,131328.25,12025,2016-09-01
201609,4648-0,34967.020000000004,3793,2016-09-01
201609,4694-0,145701.97,11402,2016-09-01
201609,4734-0,165359.48,7382,2016-09-01
201609,4774-0,633242.93,55308,2016-09-01
201609,4775-0,217514.79,20135,2016-09-01
201609,5172-0,491885.84,1341,2016-09-01
201609,5297-0,914.6700000000001,19,2016-09-01
201609,98993-0,1081317.99,4386,2016-09-01
201609,98994-0,509903.73000000004,2050,2016-09-01
201609,99042-NA,33652.64,277,2016-09-01
201609,99517-LGR-1WA,3482.76,4,2016-09-01
201609,99517-LGR-1WT,885.81,1,2016-09-01
201609,99520-LGR-1WA,1861.62,2,2016-09-01
201609,99520-LGR-1WT,1155.61,1,2016-09-01
201609,99522-LG-1WA,5384.8,5,2016-09-01
201609,99522-LG-1WT,2790.14,2,2016-09-01
201609,99524-LG-1WA,10718.51,12,2016-09-01
201609,99524-LG-1WT,2448.06,2,2016-09-01
201609,99530-LGR-1WA,7890.68,10,2016-09-01
201609,99530-LGR-1WT,1123.57,2,2016-09-01
201609,99533-LGR-1WA,1666.1,3,2016-09-01
201609,99533-LGR-1WT,857.5,1,2016-09-01
201609,99535-LG-1WA,4600.64,4,2016-09-01
201609,99535-LG-1WT,1199.59,1,2016-09-01
201609,99537-LG-1WA,4264.6,4,2016-09-01
201609,99541-R-1WA,7498.900000000001,15,2016-09-01
201609,99541-R-1WT,1079.7,2,2016-09-01
201609,99543-R-1WA,2996.2400000000002,5,2016-09-01
201609,99544-1WA,4605.200000000001,6,2016-09-01
201609,99544-1WT,3226.79,4,2016-09-01
201609,99548-1WA,735.31,1,2016-09-01
201609,CB-CLW2026SS,120625.19,1319,2016-09-01
201610,10491-0,1598939.19,6665,2016-10-01
201610,10493-0,126310.66,484,2016-10-01
201610,11464-0,1757215.17,14092,2016-10-01
201610,11499-0,3860525.19,25408,2016-10-01
201610,14047-0,13639.39,51,2016-10-01
201610,2967-BR1,78312.06,829,2016-10-01
201610,3073-NA,260368.16,2974,2016-10-01
201610,3946-0,255005.32,942,2016-10-01
201610,4008-0,116247.08,4378,2016-10-01
201610,4166-0,119073.84,1961,2016-10-01
201610,4167-0,83902.98,1309,2016-10-01
201610,4198-0,746350.5700000001,8597,2016-10-01
201610,4199-0,2616779.54,26125,2016-10-01
201610,4309-0,1003217.4500000001,8501,2016-10-01
201610,4418-0,246895.12,3302,2016-10-01
201610,4421-0,376819.96,5481,2016-10-01
201610,4434-0,521708.48,3958,2016-10-01
201610,4467-0,889620.16,16603,2016-10-01
201610,4468-0,727545.32,13490,2016-10-01
201610,45989-0,478060.66000000003,2827,2016-10-01
201610,4636-0,904203.9,36711,2016-10-01
201610,4639-0,96492.61,4400,2016-10-01
201610,4647-0,136803.91,12420,2016-10-01
201610,4648-0,102766.78,11042,2016-10-01
201610,4694-0,152412.93,11902,2016-10-01
201610,4734-0,178487.33000000002,7966,2016-10-01
201610,4774-0,475365.9,41700,2016-10-01
201610,4775-0,152399.96,14327,2016-10-01
201610,5172-0,492809.17,1315,2016-10-01
201610,5297-0,2410.34,22,2016-10-01
201610,98993-0,679838.48,2792,2016-10-01
201610,98994-0,557529.39,2286,2016-10-01
201610,99042-NA,101089.0,833,2016-10-01
201610,99517-LGR-1WA,4177.8,6,2016-10-01
201610,99520-LGR-1WA,3678.24,4,2016-10-01
201610,99520-LGR-1WT,1155.61,1,2016-10-01
201610,99522-LG-1WA,8722.210000000001,7,2016-10-01
201610,99524-LG-1WA,4698.36,5,2016-10-01
201610,99530-LGR-1WA,3214.2400000000002,4,2016-10-01
201610,99530-LGR-1WT,1572.26,2,2016-10-01
201610,99533-LGR-1WA,8240.5,10,2016-10-01
201610,99533-LGR-1WT,857.5,1,2016-10-01
201610,99535-LG-1WA,2350.32,2,2016-10-01
201610,99535-LG-1WT,2354.18,2,2016-10-01
201610,99537-LG-1WA,1077.4,1,2016-10-01
201610,99541-R-1WA,3495.07,7,2016-10-01
201610,99541-R-1WT,517.35,1,2016-10-01
201610,99543-R-1WA,1132.4,2,2016-10-01
201610,99543-R-1WT,611.2,1,2016-10-01
201610,99544-1WA,3967.84,5,2016-10-01
201610,99544-1WT,806.7,1,2016-10-01
201610,99548-1WA,1425.62,2,2016-10-01
201610,CB-CLW2026SS,133336.84,1455,2016-10-01
201611,10491-0,2107601.95,8752,2016-11-01
201611,10493-0,127955.51,490,2016-11-01
201611,11464-0,2792306.34,22387,2016-11-01
201611,11499-0,4604048.0,30275,2016-11-01
201611,14047-0,2865.94,11,2016-11-01
201611,2967-BR1,76565.73,808,2016-11-01
201611,3073-NA,153269.87,1766,2016-11-01
201611,3946-0,223681.4,827,2016-11-01
201611,4008-0,111873.16,4219,2016-11-01
201611,4166-0,123916.08,2015,2016-11-01
201611,4167-0,92749.54,1453,2016-11-01
